I love cats.	私は猫が好きです。
The weather is nice today.	今日は天気がいいですね。
She is reading a book.	彼女は本を読んでいます。
I want to eat sushi.	私は寿司が食べたいです。
He goes to school every day.	彼は毎日学校に行きます。
This is my bag.	これは私のかばんです。
What time is it now?	今何時ですか？
I am studying Japanese.	私は日本語を勉強しています。
The train has arrived.	電車が来ました。
Please wait a moment.	少々お待ちください。
I don't understand.	わかりません。
Where is the station?	駅はどこですか？
It's delicious.	おいしいです。
Thank you very much.	どうもありがとうございます。
Good morning.	おはようございます。
Good evening.	こんばんは。
How are you?	お元気ですか？
I'm fine.	元気です。
What is your name?	お名前は何ですか？
Nice to meet you.	はじめまして。
I'm from America.	私はアメリカから来ました。
I like music.	私は音楽が好きです。
She sings well.	彼女は歌が上手です。
The movie was interesting.	映画は面白かったです。
I will go tomorrow.	明日行きます。
Yesterday was Sunday.	昨日は日曜日でした。
It's cold today.	今日は寒いです。
Summer is hot.	夏は暑いです。
Spring is beautiful.	春は美しいです。
I bought a new book.	新しい本を買いました。
The coffee is hot.	コーヒーは熱いです。
Water is important.	水は大切です。
I have a dog.	私は犬を飼っています。
Birds can fly.	鳥は飛べます。
Fish live in water.	魚は水の中に住んでいます。
I want to drink tea.	お茶が飲みたいです。
Let's go together.	一緒に行きましょう。
I don't know.	知りません。
This is easy.	これは簡単です。
That is difficult.	それは難しいです。
He is tall.	彼は背が高いです。
She is beautiful.	彼女は美しいです。
The car is fast.	車は速いです。
The mountain is high.	山は高いです。
The river is long.	川は長いです。
I love you.	愛しています。
I miss you.	あなたがいなくて寂しいです。
Take care.	お気をつけて。
See you later.	また後で。
Goodbye.	さようなら。

